,Tweets
20,"🐮 A Wicklow farmer has been supplying high-end cream to Baileys since the liqueur was first launched in 1974. The preferred playlist of his herd  ""Baileys Ladies""is the relaxing technique that @RTEbusiness went to find out more about ...

https://t.co/V6mxiIkZWx

#agribusiness"
21,"@Pat407 @JohnZilli @staylorish @afneil Ireland at the top table..... 😳

https://t.co/LlUskEMvVl"
22,iAgribusiness is out! We Grow You https://t.co/c0Nj7Cz9i4 Stories via @WandileSihlobo @kev_han @AwediNetwork #ireland #agribusiness
23,"Pig Numbers up 4% in December 2020

https://t.co/qlsKB0vR8r 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #CensusofAgriculture https://t.co/qmo6cHk5YL"
24,"Golden Popcorn to produce crisps for Aldi Ireland in £500,000 deal https://t.co/3HIqKPJ7BK via @IrishTimesBiz"
25,"What are the opportunities for New Zealand dairy farmers following the growth in the Irish dairy industry? Alex Gowen, Agribusiness Sector Lead from New Zealand Trade Enterprise explains. 

Listen to the podcast https://t.co/wU2UFfukNt"
26,"Agricultural output price index up 1.8% in 2020
https://t.co/7l0n6u9tcn 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #MilkStatistics #MilkProduction #Dairy #Milk #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/pmoYUg6qfH"
27,"""...innovative companies from Australia, Canada, Ireland, Israel, New Zealand, Singapore, and the U.K. are gaining prominence.""

#Innovation #AgTech #FoodTech #AgBioTech #AgriBusiness

Check out the article ⬇️ https://t.co/9czGDCeDNg"
28,"https://t.co/4oWzLBT8PC
@DonnellyStephen @LeoVaradkar @HMcEntee @sinnfeinireland @FineGael @fiannafailparty @labour 
I hate to say this but this seems to be the only language politicians are talking. If you don’t give a damn about civil liberties, maybe you give one about money."
29,"Fantastic #client coverage in today's Irish Times as Wyeth Nutrition's Askeaton facility is awarded platinum-certification from the Alliance for Water Stewardship - the first facility to receive this certification in Ireland 
 #Wyeth #Sustainable
https://t.co/ENXJo8m2en https://t.co/p22gfLWJvX"
30,"@gardainfo When will this illogical legislation change? Normal people criminalised, blatantly fueling gangland crime, double standards compared with alcohol! 
Nonsensical, commercially shortsighted prohibition for what? Years of lost tax  revenue before legalisation?
https://t.co/5aVHpskcQY"
31,"@gardainfo When will this illogical legislation change? Normal people being turned into criminals, whilst blatantly fueling gangland crime and forcing regular Joe's to deal with shady dealers?

Utterly nonsensical and commercially shortsighted prohibition. For what?

https://t.co/5aVHpskcQY"
32,"@gardainfo When will this illogical legislation change? Normal people being turned into criminals, whilst blatantly fueling gangland crime and forcing regular Joe's to deal with shady dealers?

Utterly nonsensical and commercially shortsighted prohibition. For what?

https://t.co/5aVHpskcQY"
33,A businessman operating a #vegan café &amp; business premises in #Galway has taken a High Court challenge arguing that his prosecution on charges arising from selling certain #hemp products is invalid under the Constitution &amp; EU law.  #Ireland #hempnews https://t.co/hoDNKlrT0P https://t.co/mu73vq5ZB3
34,"A businessman operating a #vegan café &amp; business premises in #Galway has taken a High Court challenge arguing that his prosecution on charges arising from selling certain #hemp products is invalid under the Constitution &amp; EU law.
#WildAtlanticWay #Ireland https://t.co/9pXKrb1kED"
35,"currently being deliberated upon by the High Court of Ireland. And the two parties involved are this company and the Irish Government.

Might be an idea to inform oh you know, your own police force oh what the f*** is going on?!!@?!

Give me strength. 

https://t.co/t8omRgoliT"
36,"EU hemp sector boom as Ireland alone refuses to recognise EU law

A month after EU ruled hemp is food Le Monde was reporting 15% of enquiries to commercial letting agents are from hemp businesses looking for retail space in 'bohemian' districts of Paris

https://t.co/ZFx3gs60Sy"
37,"Domestic Milk Intake up by 5.5% in December 2020
https://t.co/K28QjYL0mE 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #MilkStatistics #MilkProduction #Dairy #Milk #CensusofAgriculture https://t.co/vH7u6xQ813"
38,"@jessieopie Just be glad you don't live in Ireland where Subway is basically considered cake.

https://t.co/I29QJJrdlm"
39,"The number of pigs slaughtered during the period January to December 2020 increased by 2.6%

https://t.co/ngVYkZ9j6g 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming  #Livestock #Cattle #Sheep #Pigs #Agronomy #CensusofAgriculture https://t.co/hJaVeVtzhw"
40,@JohnSul68517064 @euromove John. You are totally wrong. Northern Ireland is outside the EU. No more subsidies. There is no whole island approach. Read the protocol. For info on losses NI farmers will suffer see: https://t.co/lCSl5AT1W5
41,"“There are no industrial milling options available in Ireland since the closure of a number of mills in recent years and since then Ireland has not been self-sufficient in flour”

“Eighty per cent of the flour used in the baking sector is imported”https://t.co/nr3nZgJ8BN"
42,"Brexit to revitalise Ireland’s seed potato sector

https://t.co/pysNinjCsX
#potatoes #vegetable #agriculture #farming #vegetables #farmingphotography #freshproduce #agribusiness #fruitsandvegetables #crops #food #freshfood #foodsecurity https://t.co/KKhtlnnEpq"
43,"Irish consumers facing 9% increase in cost of bread

“There are no industrial milling options available in Ireland since the closure of a number of mills in recent years and since then Ireland has not been self-sufficient in flour,”  https://t.co/xT7lngigpY via @IrishTimesBiz"
44,Northern Ireland Fishermen fear London will deny North fair share of extra fish Brexit quota https://t.co/hFQfze0GT5
45,"In a dispute over dairy products of Ireland, ""Kerrygold"" beat ""Kerrymaid,"" find out why here: https://t.co/dOIvzrRMPH
#TrademarkNews"
46,"#Kerry Group and #dairy company #Kerrygold were in a battle over the #trademark #Kerrymaid after Kerry Group tried to file in the EU. Even after arguing that Kerry referred to County Kerry in #Ireland, Kerrygold's famous #butter mark prevailed.
https://t.co/4iQdlryvFY"
47,"Some significant shifts in @OriginGreen program in Ireland to address the emissions from Food and Drinks companies.
https://t.co/T9iD2cADks
Get in touch @Dwr_Uisce or join our cluster to discover how to reduce emissions through heat recovery! #ClimateAction #erdf @IrelandWales https://t.co/8orCWHK8Tf"
48,"Agricultural output price index up 0.9% in the year to January 2021
https://t.co/1sWN7HWVGQ 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/T3tiDRNINN"
49,"@LemieuxLGM A semi-regular reminder that Subway ""bread"" did not fit the definition of bread in Ireland for VAT liability, and nowhere with bread should smell the way a Subway smells.

https://t.co/mbVDLiJOps"
50,Fighting Stigma: Domino's pizza sales up over 11% in Ireland and UK last year: The company said its business suffered in Ireland due to the impact of Covid-19 public health measures. “Our business in Ireland is a much smaller ... https://t.co/395oXGRRn0
51,Domino’s pizza sales up 11.4% in Ireland and UK last year https://t.co/RzcOkizRWK via @IrishTimesBiz
52,"Ireland’s food, drinks &amp; agribusiness sector is at the tip top worldwide. It exports to &gt;170 countries. Benefitting from the EU/Japan Economic Partnership Agreement (EPA), Ireland’s food exports to Japan are growing strongly. @Bordbia @IFAmedia @IFAmedia @MAFF_JAPAN @IJCC_Tokyo https://t.co/R4GlVCowsC"
53,"Agricultural operating surplus increased by 5.4% in 2020
https://t.co/HBUs45TAfj 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #MilkStatistics #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/mnO357wAbq"
54,Ireland holds second place in world food security rankings https://t.co/6SQ5W2trLE
55,"Did you know that Ireland holds 2nd place in the Global Food Security Index, which ranks measures such as affordability, availability, quality &amp; natural resources? Find out more... https://t.co/NmCCNxnxZL https://t.co/9bDvlqEb17"
56,"Domestic Milk Intake up by 1% in January 2021
https://t.co/MToO6lQu7I 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices  #MilkStatistics #MilkProduction #Dairy #Milk #Agronomy #CensusofAgriculture https://t.co/KQux6GEyf4"
57,"“Ireland remains among the best countries in the world in terms of food security”  #IrishAdvantage @Entirl 

https://t.co/4u3nRJlY35"
58,"Agri Finance

SME have great experience in the Agricultural Sector working alongside the biggest suppliers all over Ireland offering tailored finance solutions for their customers.

#agrifinance #agribusiness #finance #agriculture #smefinance #smeleasing #smesector https://t.co/nrg2fOSV8K"
59,"The number of cattle slaughtered in January 2021 decreased by 17.9% when compared to January 2020

https://t.co/WQs7GAV9hx 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Livestock #Cattle #Sheep #Pigs #CensusofAgriculture https://t.co/zawCyisHDX"
60,Ireland holds second place in world food security rankings https://t.co/SE8pN4sNmD
61,Ireland holds second place in world food security rankings https://t.co/RvSxhWJJKB
62,"@duponline @gordonlyons1 I don't think so. Theres a very reliable source of food next door if it gets to that stage.

https://t.co/mHsGCf3r0m"
63,Ireland holds second place in world food security rankings https://t.co/JpT0bVfyYP
64,"Sustainable, Locally-Produced &amp; Nutritious: fantastic to see that Ireland holds 2nd place in the Global Food Security Index, which ranks measures such as affordability, availability, quality &amp; natural resources

#sustainabledairyIreland @NDC_ie

https://t.co/uvqZjLadJD"
65,Ireland holds second place in world food security rankings https://t.co/Ny6T3Pfbay
66,Ireland holds second place in world food security rankings https://t.co/AH2vrG6XN8
67,Ireland sits second in world food security rankings via @IrishTimesBiz https://t.co/iDaeCNwsE0
68,"Ireland holds second place in world food security rankings
via @IrishTimes .

https://t.co/Rf86YElf3m"
69,Ireland holds second place in world food security rankings https://t.co/c2O0gma11m via @IrishTimesBiz
70,Ireland holds second place in world food security rankings https://t.co/p6fAyphwwk
71,Ireland holds second place in world food security rankings https://t.co/RxxLZumHpQ
72,Ireland holds second place in world food security rankings (via @IrishTimes) https://t.co/kyXynTOgC5
73,"Ireland remains among the best countries in the world in terms of food security according to the @TheEIU's new Global Food Security Index, although climate change is reducing security globally. #PositiveIreland 
https://t.co/X5zQl6tPpp"
74,"Ireland holds second place in world food security rankings- strong independent testament to out industry and farmer suppliers.

☘️🐮 https://t.co/3d03BgCQ91"
75,Ireland holds second place in world food security rankings https://t.co/06PvI6B2Yb via @IrishTimesBiz
76,"@Gareth00791144 @SamuelJohnsnon @icgardens Ireland can take over the exports that the UK used to provide to the EU. Lamb, Pork, Beef... you do know Ireland is self-sufficient in food, don't you? 
https://t.co/UHSccYA1x7"
77,Have to agree @glasshouse33 Ireland’s No.1 #agri #agribusiness #recruiter FRS Recruitment Herdwatch FRS Network https://t.co/uwtX2xSiy9
78,An Irish start-up has just raised $5.3 million (€4.5 million) in financing to provide loans to farmers in Ireland and across the world to encourage them to grow hemp for use in CBD products. https://t.co/i0E8FGmaug https://t.co/J4LDhMYJJ8
79,"A great read for any beer heads, get out and support your local brewers, just like you do with all your other buy Irish products. Just cause it’s in a green can really does not make it Irish, nor should it be the number one beer of choice in Ireland ……

https://t.co/VLvDBStUqS"
80,Interesting piece from @MarkPaulTimes about the state of Ireland’s brewing sector during the pandemic featuring @DrinksIrlBeer chairman Peter Mosley #IrishBeer #COVID19 https://t.co/Rr7x5N5nKi
81,"Agricultural output price index up 1.3% in the year to February 2021
https://t.co/cfT7xqSMvL 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Agronomy #CensusofAgriculture https://t.co/8oJrYxTV1r"
82,Brewers want State aid to get rid of out-of-date drink: https://t.co/8gZUzFOCUs #Ireland #exports
83,"Join us at @Agribusiness21 on May 6, 2021. Sharing their insights at the event include speakers from 
@NDC_ie @lidl_ireland @SupermacsIRE @FSAIinfo 
@CarberyGroup 

Visit https://t.co/hCUIUege5e to find out more and secure your place today!

@Agri_InsiderIRL #agribusiness https://t.co/509foGOUch"
84,"Join us at @Agribusiness21 on May 6, 2021. Sharing their insights at the event include speakers from 
@NDC_ie @lidl_ireland @SupermacsIRE @FSAIinfo 
@CarberyGroup 

Visit https://t.co/MnPxSC3Cye to find out more and secure your place today!

@Agri_InsiderIRL #agribusiness https://t.co/tTxgNKnF68"
85,A busy week for @Bordbia with over 100 buyers from key global markets making a virtual trip to Ireland to meet with our food and drink industry partners ☘️🇮🇪 https://t.co/LbYX5IdDHa
86,"Guess who is featured in the Irish Times today?? 

Check out the full article here: https://t.co/LhviEX6wId 

#greenheartfamily #ireland  #hemp #health #cbd  #irishtimes #article #media #press #spreadtheword https://t.co/ek08Q7b8QH"
87,"“An Irish start-up has just raised $5.3 million (€4.5 million) in financing to provide loans to farmers in Ireland and across the world to encourage them to grow hemp for use in cannabidiol (CBD) products.”

https://t.co/uXOFQjDoWL"
88,"Ireland’s “private” business is highly subsidised but this takes state handouts to a new level! Brewers want State aid to get rid of out-of-date drink
via @IrishTimes
https://t.co/wXS9BBRAzH"
89,#IRELAND #DRONES #AI #STARTUP..has JUST raised $5.3 million (€4.5 million) in financing to provide loans to farmers in Ireland and across the world to encourage them to https://t.co/Rcbh5Kx8r4 https://t.co/UfDLmnBQLT
90,"Greenheart lends directly to farmers via smart contracts, which are built on blockchain technology. #fintech #finance #ireland  https://t.co/y8bnhP2GXM"
91,"New Zealand and Ireland face very similar climate change challenges and both countries have a lot to gain from working more closely together to meet them, leading Irish agriculture greenhouse gas (GHG) academic Frank Convery says. https://t.co/GumNgwR3B4 https://t.co/WgAIixwCUL"
92,The auction is being organised by the new Air Ambulance NI Agribusiness Group who have secured over 150 highly sought-after lot items from businesses across Northern Ireland. https://t.co/28bjwk248u
93,"Pleased to announce that John Paul Scally, CEO of @lidl_ireland, will be speaking at the National Agribusiness Summit 2021. He will be part of our industry leaders panel 'View from the top'.

Taking place on May 6, 2021

Book now for early bird rates: https://t.co/DRtXPSfxKV https://t.co/naytIVvQp2"
94,"The global food and agribusiness industries are a dynamic and interesting sector. 

This week we made two new hires to our consultancy at our offices in Accra, Ghana and Dublin, Ireland. 

Connect with us on our career page.

#teamdevelopment #agribusiness #Growth https://t.co/XBTmd1xY2k"
95,Great to see the @IrishWhiskeyAsc's support for the ratification of #CETA! Just another example of how the Ireland-Canada trading relationship greatly benefits Ireland's economy.  https://t.co/kniB0cNK7r @DeirdreGiblin1 @canadaireland @NancySmyth_ @SuzDrisdelle @CCollenette
96,"Kerrygold Launches Two New Products In Ireland: Kerrygold Spreadable And Kerrygold Unsalted Irish Butter

https://t.co/M7IFBl3zR7

#Kerrygold #Dairy #Ornua #agribusiness #Butter #Margarine https://t.co/qLmqTsLl4N"
97,"Domestic Milk Intake up by 4.4% in February 2021
https://t.co/6wqZtHvSkh 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #MilkStatistics #MilkProduction #Dairy #Milk #CensusofAgriculture https://t.co/p3hdChUYOe"
98,Innovators and entrepreneurs in the #agriculture sector are being invited to enter the Enterprise Ireland Innovation Arena Awards 2021 in partnership with the National Ploughing Association .@Entirl .@NPAIE #agribusiness #innovation #entrepreneurs #food https://t.co/KiXRGvHZOs
99,"You have got to be joking.
One of the benefits of working from home is not having to put up with lacklustre coffee and tasteless mass produced food!
""#Offices may use ‘perks’ of #food and #coffee to tempt home-workers back""
https://t.co/rKXo0eh3dd
#WFH #Ireland"
100,"Number of Cattle up 105,800 (+1.5%) in June 2020

https://t.co/xeUb3Y4j68 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/yvyXgVUwoO"
101,"@JamieRohu I heard Ireland's dairy milk exports to China are huge and they go largely into infant milk formula. The Chinese value this source of milk as they trust it is high quality and not adulterated. Some stories:
https://t.co/haQ4x2fWgB

https://t.co/5FJv5ea8Qw

https://t.co/miBmgF00Vf"
102,"It’s 30 years since the GAA first allowed sponsors on the front of team jerseys. Lorcan Allen tots up the All-Ireland successes for Irish agribusiness in that time.
https://t.co/eB7PtmAlUf"
103,"The number of cattle slaughtered during the period January to February 2021 decreased by 17.9%

https://t.co/mnsBYlY5Ga 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #CensusofAgriculture https://t.co/flZYeynrh7"
104,"It’s 30 years since the GAA first allowed sponsors on the front of team jerseys. Lorcan Allen tots up the All-Ireland successes for Irish agribusiness in that time.
https://t.co/4cfGzxeAr2"
105,"A great read, providing a fascinating insight into the history of the relationship between Irish agri-businesses and @officialgaa. Today Kepak proudly supports over 20 local GAA clubs in addition to our sponsorship of @meathladiesMLGF 

https://t.co/D1fasSqkjR"
106,@Non_Deferential @BelfastUnionist @Richard_Ardvark There are fruit and vegetable shortages in England too. How come the south is food secure under the exact same conditions as NI? https://t.co/9P81GfxxcJ
107,The latest The Agribusiness Daily! https://t.co/YOUPe3ZB9v Thanks to @CNAFinance @ifac_ireland @TexasFarmBureau #ifacfundingfriday #womenshistorymonth
108,"Inside this week's @FarmersJournal:
*Global trade for beef, lamb, milk, and grain on fire
*McConalogue seeks REAP expansion from EU 
*How the next ten days will shape your future CAP payment
*And don't miss your free 56-page agribusiness report in association with @KPMG_Ireland https://t.co/mFKJg2E1Fe"
109,I first joined the @farmersjournal in 2013 to work on the very first Agribusiness Report with @KPMG_Ireland This year marks the ninth edition of the report and I was delighted to contribute to it before I departed. Some great reading in this year's report. In shops this week🗞️📲 https://t.co/VZYT2BQR6Y
110,Get your FREE agribusiness report in association with @KPMG_Ireland inside this week's @farmersjournal which examines how the explosion of e-commerce as a result of #covid19 fast forwarded changes in consumer behaviour by several years &amp; how businesses adapted to meet these needs https://t.co/VBwnD1Ijla
111,"Common Agricultural Policy but no desire for a common Climate Action Policy. We're not in this together, yet. 

""Ireland’s estimated take in Cap funding between 2014 and 2020 is estimated to amount to €10.68 billion.""

https://t.co/UKIfdXDQK3"
112,"👏€275,000 awarded to Agri-Food Tourism projects!

👉 It allows rural Ireland to showcase its culture through agriculture produce.

🤝We proudly support businesses in our local communities!

📞Contact our experts today!
  https://t.co/47pWATmLIR

 #fdcgroup #agribusiness https://t.co/wG5zGh5WUy"
113,"Agricultural output price index up 6.8% in the year to March 2021

https://t.co/wCG3eNv3KI 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #Dairy #Milk #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/SYw1sp8y7u"
114,Losses at Godolphin Ireland narrow to €8.36m as revenues surge https://t.co/QvUTuDLZpW via @IrishTimes
115,"@Niall_Boylan Water infrastructure in Ireland is not fit for purpose - fix the leaking pipes, replace the lead ones, we already pay taxes for this. If more investment is needed, ask the biggest users of water - pharma industries, data centres, agribusiness etc. https://t.co/MNZBg51aCy"
116,Losses at Godolphin Ireland narrow to €8.36m as revenues surge https://t.co/EBt90Sl2Vs
117,Losses at Godolphin Ireland narrow to €8.36m as revenues surge https://t.co/xOGXOITkbc via @IrishTimesBiz
118,"The new facility and the increased agricultural activity needed to support it would increase #carbon #emissions and damage #water quality. Two important issues especially at this time! #Ireland #Cheese #Milk

https://t.co/iawUR37rcE"
119,We have continued to work hard on our new niche crop development irrespective of slow down in food services. We have developed scaled production of some fantastic new crops to Ireland.   #newbeginnings #agribusiness  @IrishYacon @IrishWasabi @irishoca https://t.co/WONqT1VlAo
120,@oconnellhugh 'Rural Ireland' = agribusiness
121,"""Since the start of the year imports of food and drink from the EU into the UK are down 17 per cent, while UK exports to the EU are down 41 per cent."" 

https://t.co/fK0UY7qyGF via @IrishTimes @finnertymike"
122,"Our next panel is up 'Financing and funding the Agribusiness Sector' - We're delighted to welcome back @LorcanAllen @businessposthq, Donal Whelton @AIBBiz, Roisin O'Shea @bankofireland &amp; Paul Kelly, Food and Drink Industry Ireland #Agribusiness21 https://t.co/oN1GN0kXlA"
123,"Invest Northern Ireland Americas is hiring for a:

🚜 Business Development Executive: Materials Handling, Waste &amp; Recycling and Agri-Engineering
📌 Boston based (Remote to start)

To apply &gt;&gt; https://t.co/loZzC48K41

#jobopportunity #equipment #wastemanagement #agribusiness https://t.co/QkGXnxb1iB"
124,Brexit sees big decline in food trade between Ireland and UK https://t.co/08QAdtHqm0 via @IrishTimes
125,Ornua's chief executive on how Ireland’s largest dairy exporter is powering through Covid and Brexit (via @IrishTimesBiz) https://t.co/ZO3vLamUmH
126,"""However, he suggests the industry is still in a quandary about the best way to “green” its farming practices. “How do we make substantial change? Is it like investing in anaerobic digesters? We don’t know..."" 🤔

A surprising admission from Head of @ornua https://t.co/FwCnUcHhTh"
127,Ireland's largest dairy exporter powers through Covid and Brexit - https://t.co/TL61tXSv7V #GoogleAlerts
128,@AppVehFin @benbg5 @oswaldalalmeida @trussliz https://t.co/JQRl41NWcM
129,"interesting article but howler: ""Manchester area, historically the cheddar capital of the UK""… Lancashire cheese? Cheshire cheese? Cheddar gorge? 
Ireland’s largest dairy exporter powers through Covid and Brexit https://t.co/kgORFntUzl via @IrishTimes"
130,"I tend to look over to the Irish press to get truth about the mess in the UK as 99% of our press are liars with agendas supporting the Tories.

https://t.co/48WZpIv9qy

https://t.co/74BDPkmJrO

https://t.co/ZNZ61M5Z1z"
131,"Kerrygold - soft and creamy
Ireland’s largest dairy exporter powers through Covid and Brexit (via @IrishTimes) https://t.co/tIZMFBzYrC"
132,Ireland's largest dairy exporter powers through Covid and Brexit https://t.co/x9pZfsCucx
133,Ireland’s largest dairy exporter powers through Covid and Brexit https://t.co/H7h1oN6Zb6 via @IrishTimesBiz
134,"Domestic Milk Intake up by 13.5% in March 2021

https://t.co/Nzz7UndNm0 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #MilkStatistics #MilkProduction #Dairy #Milk #Agronomy #CensusofAgriculture https://t.co/8S3lmBELIT"
135,"Bread 41 to expand and open new restaurant in €265,000 revamp. Dublin bakery owner ‘believes in area’ and will continue to supply outdoor markets. #irishbusiness #baker #bakery #restaurant #sme #entrepreneur #ireland  https://t.co/sDG45HT9hB"
136,"Brexit sees big decline in food trade between Ireland and UK https://t.co/PW8Y4qBDlZ via @IrishTimes 

The sunny uplands seem to be receding rapidly over the horizon?"
137,"#Farmland values in #Ireland may increase by as much as 4 percent this year, according to this new report. 

https://t.co/ebZhBw40di"
138,"#LCEconomics #LCBusiness #Brexit sees big decline in food #trade between Ireland and UK.
https://t.co/M9PAlBDQdg

via @GoogleNews"
139,Brexit sees big decline in food trade between Ireland and UK https://t.co/4NLE4o83Vl
140,"The number of cattle slaughtered during the period January to March 2021 decreased by 13.6%
https://t.co/D8vMyWWvfQ 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #CensusofAgriculture https://t.co/wTGa8g4IBj"
141,@Kango_V @Mowman123 @cnapan @DavidGHFrost @Europarl_EN @EU_Commission @MichelBarnier https://t.co/xbSlawrPS0
142,#Brexit sees big decline in food trade between Ireland and UK https://t.co/MPTKWDw08L
143,Brexit sees big decline in food trade between Ireland and UK https://t.co/ImnXzqlSGq
144,"The Irish Times: Brexit sees big decline in food trade between Ireland and UK.
https://t.co/2rc0n184DV

via @GoogleNews"
145,"Hospitality lockdown not even mentioned &gt;&gt;The Irish Times: Brexit sees big decline in food trade between Ireland and UK.
https://t.co/ALnNh4zNVx

via @GoogleNews"
146,Brexit sees big decline in food trade between Ireland and UK (via @IrishTimes) https://t.co/s5Rj2SIE0E
147,"Oh well !
Brexit sees big decline in food trade between Ireland and UK https://t.co/MAxD9aI0CD"
148,Brexit sees big decline in food trade between Ireland and UK - The Irish Times https://t.co/7xUnEmCNB4
149,"Yes, Brexit made everything better.. not. https://t.co/xYw1r9dwjI

Hope it was worth it.. Ireland certainly isn't loving the impact so far! #BrexitReality"
150,"The Irish Times: Brexit sees big decline in food trade between Ireland and UK.
https://t.co/L1UFtzZwOP

via @GoogleNews"
151,Brexit sees big decline in food trade between Ireland and UK https://t.co/7QglztT7bv
152,Brexit sees big decline in food trade between Ireland and UK https://t.co/e7GKb25ue5 https://t.co/RCKI6R463Y
153,Brexit marks significant decline in food trade between Ireland and the United Kingdom via @IrishTimesBiz  https://t.co/Y81o4KGYhu
154,Brexit sees big decline in food trade between Ireland and UK https://t.co/gMSXzwedY0 via @IrishTimesBiz
